/Users/michaeljardine/.densitycount/models/pv20_1527600777_firsttestmodel_,Filename: ,Frame number: ,Predicted count: ,Corrected count: ,CI 
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-158.png,1,7.519307276,7.860670525,0.673638602
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-159.png,1,27.79513031,31.69672159,0.508489609
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-160.png,1,20.73575085,23.39778699,0.551760796
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-161.png,1,11.49591807,12.53553368,0.632575285
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-162.png,1,16.98214752,18.98508914,0.581760688
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-163.png,1,10.94773243,11.89109222,0.63804428
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-164.png,1,23.95632233,27.18385803,0.529700065
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-165.png,1,12.07990106,13.22205813,0.626821556
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-166.png,1,22.83100637,25.86094804,0.536991716
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-167.png,1,8.811643158,9.379927427,0.659951645
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-168.png,1,14.42811504,15.98259457,0.604481945
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-169.png,1,15.18582891,16.87335528,0.597561624
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-170.png,1,12.6674538,13.91277915,0.621110086
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-171.png,1,45.08294359,52.02009882,0.495864265
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-172.png,1,42.14136301,48.56200665,0.487899416
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-173.png,1,22.23387409,25.15896541,0.541046127
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-174.png,1,30.66679849,35.07262545,0.496640917
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-175.png,1,14.42771908,15.98212909,0.6044856
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-176.png,1,8.695321974,9.243181428,0.661170694
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-177.png,1,27.15079361,30.93924593,0.511634995
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-178.png,1,9.191558455,9.826551981,0.655988369
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-179.png,1,25.9308263,29.50506479,0.518058077
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-180.png,1,14.19354274,15.70683377,0.606653758
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-181.png,1,17.13529175,19.16512394,0.580454588
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-182.png,1,16.00716222,17.83890635,0.590228799
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-183.png,1,22.28355768,25.21737294,0.540703989
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-184.png,1,19.63777305,22.10701547,0.560086213
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-185.png,1,15.32907531,17.04175428,0.596269932
