Predicted count: ,Corrected count: ,CI ,line,genotype,allele,block
10.60741692,10.20144537,0.498219224,S2,D,F,2
17.57522664,16.94681125,0.515192633,S2,D,F,2
11.8012059,11.35712324,0.501113445,S2,D,F,2
19.93649787,19.23270008,0.52098711,S2,D,F,2
24.48791832,23.63881871,0.532212928,S2,D,F,2
13.53316254,13.03378803,0.505322756,S2,D,F,2
3.215433952,3.045447763,0.480434552,S2,D,F,2
13.19730653,12.70865406,0.504505552,S2,D,F,2
11.78309231,11.33958791,0.501069486,S2,D,F,2
31.59763673,30.52156292,0.549888869,S3,D,F,2
23.25236575,22.44271054,0.529158309,S3,D,F,2
22.03803359,21.26714533,0.526161328,S3,D,F,2
21.13042016,20.388507,0.523924736,S3,D,F,2
12.30756282,11.84731496,0.502342826,S3,D,F,2
18.25679202,17.606618,0.516863043,S3,D,F,2
13.14266479,12.65575672,0.504372641,S3,D,F,2
31.99402041,30.90529225,0.550879104,S3,D,F,2
6.437534059,6.164683936,0.488157082,S3,D,F,2
7.811943276,7.495215826,0.491465314,S3,D,F,2
27.12538846,26.19208894,0.538750827,S3,D,F,2
4.662525483,4.44634162,0.483897016,S3,D,F,2
16.28403665,15.69684186,0.512032946,S3,D,F,2
32.72249133,31.6105071,0.552700211,S3,D,F,2
16.38073414,15.79045233,0.512269355,S3,D,F,2
25.63160916,25.25048192,0.584149604,L1,B,M,3
6.847078939,6.68671026,0.574467979,L1,B,M,3
18.89946391,18.59745383,0.580672213,L1,B,M,3
19.01499339,18.7116256,0.580731817,L1,B,M,3
21.22635595,20.8969999,0.581873186,L1,B,M,3
23.00134407,22.6511281,0.582789981,L1,B,M,3
54.23208463,53.51484041,0.599013718,L1,B,M,3
18.05778361,17.76566508,0.580238048,L1,B,M,3
28.55719313,28.141684,0.585663373,L1,B,M,3
13.08171794,12.84807887,0.577673956,L1,B,M,3
37.42707274,36.90732349,0.590262339,L1,B,M,3
16.29202595,16.02065887,0.579327646,L1,B,M,3
22.85731939,22.50879601,0.58271557,L1,B,M,3
29.42541814,28.99970551,0.586112914,L1,B,M,3
27.30383046,26.90305104,0.585014661,L1,B,M,3
25.31633027,24.93890824,0.583986565,L1,B,M,3
34.50711342,34.02167996,0.588746801,L1,B,M,3
36.27131736,35.76515071,0.589662289,L1,B,M,3
22.19303399,21.85231739,0.58237241,L1,B,M,3
34.652532,34.16538955,0.588822241,L1,B,M,3
1.531572505,1.433672438,0.571740555,L1,B,M,3
26.61257254,26.21991688,0.584657004,L1,B,M,3
11.73707274,11.51923613,0.576981884,L1,B,M,3
15.50235741,15.24027063,0.578920692,L1,B,M,3
32.2814944,31.82221674,0.58759267,L1,B,M,3
27.06268643,26.66474097,0.584889883,L1,B,M,3
37.75320614,37.22962412,0.590431706,L2,B,M,3
22.57911896,22.23386503,0.582571846,L2,B,M,3
28.41941327,28.00552336,0.585592047,L2,B,M,3
26.43626386,26.04568021,0.584565796,L2,B,M,3
40.37788683,39.82345917,0.591795432,L2,B,M,3
29.29198432,28.86783982,0.586043817,L2,B,M,3
29.97328579,29.54113454,0.586396654,L2,B,M,3
32.78268228,32.31751459,0.587852491,L2,B,M,3
38.40710379,37.87583707,0.590771343,L2,B,M,3
45.92423,45.30462091,0.59468118,L2,B,M,3
35.12734643,34.63462389,0.589068591,L2,B,M,3
50.96565363,50.28679699,0.597308862,L2,B,M,3
40.84159654,40.2817193,0.592036493,L2,B,M,3
39.36506964,38.82254476,0.59126905,L2,B,M,3
17.90288684,17.61258869,0.580158162,L2,B,M,3
46.95329293,46.32159014,0.595217189,L2,B,M,3
37.73133997,37.20801492,0.59042035,L2,B,M,3
30.77244589,30.33090279,0.586810636,L2,B,M,3
54.48618021,53.76594982,0.599146415,L2,B,M,3
37.42425736,36.90454119,0.590260877,L2,B,M,3
37.43045942,36.91067036,0.590264098,L2,B,M,3
51.31210101,50.62917286,0.597489598,L2,B,M,3
51.85906302,51.1697069,0.59777498,L2,B,M,3
15.5335028,15.27105,0.578936741,L3,B,M,3
41.64140041,41.07212376,0.592452361,L3,B,M,3
37.13437802,36.61806856,0.590110354,L3,B,M,3
40.79555721,40.23622104,0.592012557,L3,B,M,3
34.91493632,34.42471006,0.588958381,L3,B,M,3
29.48228368,29.05590276,0.586142362,L3,B,M,3
32.82877029,32.36306096,0.587876386,L3,B,M,3
20.02984014,19.71454572,0.581255505,L3,B,M,3
22.18313928,21.84253897,0.582367299,L3,B,M,3
33.07677765,32.60815371,0.588004975,L3,B,M,3
28.86536162,28.44623085,0.585822917,L3,B,M,3
39.86143362,39.3130754,0.591526998,L3,B,M,3
39.9970963,39.44714376,0.591597506,L3,B,M,3
27.15782877,26.75876518,0.584939112,L3,B,M,3
25.0887446,24.71399719,0.583868885,L3,B,M,3
45.16732028,44.5566065,0.594287045,L3,B,M,3
25.48782102,25.1083836,0.584075245,L3,B,M,3
24.03175696,23.66943142,0.583322465,L3,B,M,3
19.49602045,19.18699955,0.580980016,L3,B,M,3
27.55095615,27.14727246,0.585142545,L3,B,M,3
31.28818256,30.84057844,0.58707786,L3,B,M,3
11.61712943,11.40070241,0.576920168,L3,B,M,3
33.57243597,33.09798697,0.588262,L3,B,M,3
19.07771992,18.77361495,0.58076418,L3,B,M,3
31.35604913,30.90764744,0.587113028,S1,B,F,3
15.55197087,15.28930102,0.578946257,S1,B,F,3
21.05620863,20.72885217,0.581785334,S1,B,F,3
20.71322316,20.38989752,0.581608257,S1,B,F,3
42.2422138,41.6658763,0.592764835,S1,B,F,3
43.93980744,43.34351958,0.593648071,S1,B,F,3
11.13931567,10.928504,0.576674337,S1,B,F,3
27.88390171,27.4763052,0.585314857,S1,B,F,3
7.148180023,6.984272759,0.57462264,S1,B,F,3
